BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00005	20	TZ INDIA MINUS 5 30	01	FP	G		N23520598	23.868328	E068125196	68.214433	N24200699	24.335275	E068490895	68.819153													200107
FP00005	30	TZ INDIA MINUS 5 30	01	FP	G		N24200699	24.335275	E068490895	68.819153	N24184499	24.312497	E070085597	70.148881													200107
FP00005	40	TZ INDIA MINUS 5 30	01	FP	G		N24184499	24.312497	E070085597	70.148881	N24273199	24.458886	E071023996	71.044433													200107
FP00005	50	TZ INDIA MINUS 5 30	01	FP	G		N24273199	24.458886	E071023996	71.044433	N25424598	25.712772	E070161998	70.272217													200107
FP00005	60	TZ INDIA MINUS 5 30	01	FP	G		N25424598	25.712772	E070161998	70.272217	N26303899	26.510831	E070112192	70.189422													200107
FP00005	70	TZ INDIA MINUS 5 30	01	FP	G		N26303899	26.510831	E070112192	70.189422	N26462299	26.773053	E069295396	69.498322													200107
FP00005	80	TZ INDIA MINUS 5 30	01	FP	G		N26462299	26.773053	E069295396	69.498322	N27530810	27.885583	E070121273	70.203536													200107
FP00005	90	TZ INDIA MINUS 5 30	01	FP	G		N27530810	27.885583	E070121273	70.203536	N27574299	27.961942	E071534899	71.896942													200107
FP00005	100	TZ INDIA MINUS 5 30	01	FP	G		N27574299	27.961942	E071534899	71.896942	N28470599	28.784997	E072232295	72.389708													200107
FP00005	110	TZ INDIA MINUS 5 30	01	FP	G		N28470599	28.784997	E072232295	72.389708	N30080961	30.136003	E073560025	73.933403													200107
