ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
056716	06800	N22000000	22.000000	E033000000	33.000000	N22000000	22.000000	E034000000	34.000000	N21000000	21.000000	E033000000	33.000000	N21000000	21.000000	E034000000	34.000000	199907	0567016
056717	07900	N22000000	22.000000	E034000000	34.000000	N22000000	22.000000	E035000000	35.000000	N21000000	21.000000	E034000000	34.000000	N21000000	21.000000	E035000000	35.000000	199907	0567017
056718	09800	N22000000	22.000000	E035000000	35.000000	N22000000	22.000000	E036000000	36.000000	N21000000	21.000000	E035000000	35.000000	N21000000	21.000000	E036000000	36.000000	199907	0567018
056719	06000	N21000000	21.000000	E030000000	30.000000	N21000000	21.000000	E031000000	31.000000	N20000000	20.000000	E030000000	30.000000	N20000000	20.000000	E031000000	31.000000	199907	0567019
056720	07300	N21000000	21.000000	E031000000	31.000000	N21000000	21.000000	E032000000	32.000000	N20000000	20.000000	E031000000	31.000000	N20000000	20.000000	E032000000	32.000000	199907	0567020
056721	06300	N21000000	21.000000	E032000000	32.000000	N21000000	21.000000	E033000000	33.000000	N20000000	20.000000	E032000000	32.000000	N20000000	20.000000	E033000000	33.000000	199907	0567021
056722	06800	N21000000	21.000000	E033000000	33.000000	N21000000	21.000000	E034000000	34.000000	N20000000	20.000000	E033000000	33.000000	N20000000	20.000000	E034000000	34.000000	199907	0567022
056723	07600	N21000000	21.000000	E034000000	34.000000	N21000000	21.000000	E035000000	35.000000	N20000000	20.000000	E034000000	34.000000	N20000000	20.000000	E035000000	35.000000	199907	0567023
056724	07800	N21000000	21.000000	E035000000	35.000000	N21000000	21.000000	E036000000	36.000000	N20000000	20.000000	E035000000	35.000000	N20000000	20.000000	E036000000	36.000000	199907	0567024
056801	06800	N24000000	24.000000	E024000000	24.000000	N24000000	24.000000	E025000000	25.000000	N23000000	23.000000	E024000000	24.000000	N23000000	23.000000	E025000000	25.000000	199907	0568001
056802	07000	N24000000	24.000000	E025000000	25.000000	N24000000	24.000000	E026000000	26.000000	N23000000	23.000000	E025000000	25.000000	N23000000	23.000000	E026000000	26.000000	199907	0568002
056803	06900	N24000000	24.000000	E026000000	26.000000	N24000000	24.000000	E027000000	27.000000	N23000000	23.000000	E026000000	26.000000	N23000000	23.000000	E027000000	27.000000	199907	0568003
056804	06100	N24000000	24.000000	E027000000	27.000000	N24000000	24.000000	E028000000	28.000000	N23000000	23.000000	E027000000	27.000000	N23000000	23.000000	E028000000	28.000000	199907	0568004
