ARF_IDENT	DIRECTION	SEG_NBR	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
AR126V	N	00060	KZAB	R	B	N33450000	33.750000	W105590000	-105.983333	N33490000	33.816667	W106034800	-106.063333	N33490000	33.816667	W105590000	-105.983333	4.00		180.0	270.0					200205
AR126V	N	00070	KZAB	H		N33490000	33.816667	W106034800	-106.063333	N34380000	34.633333	W106035100	-106.064167													200205
AR126V	N	00080	KZAB	R	B	N34380000	34.633333	W106035100	-106.064167	N34420000	34.700000	W105590000	-105.983333	N34380000	34.633333	W105590000	-105.983333	4.00		270.0	360.0					200205
AR126V	S	00010	KZAB	H		N34420000	34.700000	W105590000	-105.983333	N34410000	34.683333	W105590000	-105.983333													200205
AR126V	S	00020	KZAB	R	B	N34410000	34.683333	W105590000	-105.983333	N34380000	34.633333	W105552200	-105.922778	N34380000	34.633333	W105590000	-105.983333	3.00		360.0	90.0					200205
AR126V	S	00030	KZAB	H		N34380000	34.633333	W105552200	-105.922778	N33490000	33.816667	W105552400	-105.923333													200205
AR126V	S	00040	KZAB	R	B	N33490000	33.816667	W105552400	-105.923333	N33460000	33.766667	W105590000	-105.983333	N33490000	33.816667	W105590000	-105.983333	3.00		90.0	180.0					200205
AR126V	S	00050	KZAB	H		N33460000	33.766667	W105590000	-105.983333	N33450000	33.750000	W105590000	-105.983333													200205
AR126V	S	00060	KZAB	R	B	N33450000	33.750000	W105590000	-105.983333	N33490000	33.816667	W106034800	-106.063333	N33490000	33.816667	W105590000	-105.983333	4.00		180.0	270.0					200205
AR126V	S	00070	KZAB	H		N33490000	33.816667	W106034800	-106.063333	N34380000	34.633333	W106035100	-106.064167													200205
AR126V	S	00080	KZAB	R	B	N34380000	34.633333	W106035100	-106.064167	N34420000	34.700000	W105590000	-105.983333	N34380000	34.633333	W105590000	-105.983333	4.00		270.0	360.0					200205
AR127V	N	00010	KZAB	H		N33003200	33.008889	W105223200	-105.375556	N32584300	32.978611	W105213100	-105.358611													200205
AR127V	N	00020	KZAB	R	B	N32584300	32.978611	W105213100	-105.358611	N32571700	32.954722	W105164700	-105.279722	N32560000	32.933333	W105200000	-105.333333	3.00		334.8	64.7					200205
AR127V	N	00030	KZAB	H		N32571700	32.954722	W105164700	-105.279722	N32135200	32.231111	W104452200	-104.756111													200205
AR127V	N	00040	KZAB	H		N32135200	32.231111	W104452200	-104.756111	N32090600	32.151667	W104424300	-104.711944													200205
AR127V	N	00050	KZAB	R	B	N32090600	32.151667	W104424300	-104.711944	N32051200	32.086667	W104444300	-104.745278	N32080000	32.133333	W104460000	-104.766667	3.00		68.5	158.7					200205
AR127V	N	00060	KZAB	H		N32051200	32.086667	W104444300	-104.745278	N32032000	32.055556	W104435100	-104.730833													200205
AR127V	N	00070	KZAB	R	B	N32032000	32.055556	W104435100	-104.730833	N32052300	32.089722	W104510100	-104.850278	N32080000	32.133333	W104460000	-104.766667	5.00		158.6	238.6					200205
AR127V	N	00080	KZAB	H		N32052300	32.089722	W104510100	-104.850278	N32100500	32.168056	W104534200	-104.895000													200205
AR127V	N	00090	KZAB	H		N32100500	32.168056	W104534200	-104.895000	N32535100	32.897500	W105252200	-105.422778													200205
AR127V	N	00100	KZAB	R	B	N32535100	32.897500	W105252200	-105.422778	N33003200	33.008889	W105223200	-105.375556	N32560000	32.933333	W105200000	-105.333333	5.00		244.7	334.7					200205
AR127V	S	00010	KZAB	H		N33002000	33.005556	W105230000	-105.383333	N32583600	32.976667	W105214800	-105.363333													200205
AR127V	S	00020	KZAB	R	B	N32583600	32.976667	W105214800	-105.363333	N32573100	32.958611	W105165500	-105.281944	N32560000	32.933333	W105200000	-105.333333	3.00		329.7	59.7					200205
AR127V	S	00030	KZAB	H		N32573100	32.958611	W105165500	-105.281944	N32532400	32.890000	W105140600	-105.235000													200205
AR127V	S	00040	KZAB	H		N32532400	32.890000	W105140600	-105.235000	N32093300	32.159167	W104425500	-104.715278													200205
AR127V	S	00050	KZAB	R	B	N32093300	32.159167	W104425500	-104.715278	N32052600	32.090556	W104440700	-104.735278	N32080001	32.133336	W104455637	-104.765658	3.00		58.8	148.8					200205
AR127V	S	00060	KZAB	H		N32052600	32.090556	W104440700	-104.735278	N32034300	32.061944	W104425700	-104.715833													200205
AR127V	S	00070	KZAB	R	B	N32034300	32.061944	W104425700	-104.715833	N32052400	32.090000	W104510200	-104.850556	N32080000	32.133333	W104460000	-104.766667	5.00		148.8	238.8					200205
AR127V	S	00080	KZAB	H		N32052400	32.090000	W104510200	-104.850556	N32492300	32.823056	W105221600	-105.371111													200205
AR127V	S	00090	KZAB	H		N32492300	32.823056	W105221600	-105.371111	N32532900	32.891389	W105250800	-105.418889													200205
AR127V	S	00100	KZAB	R	B	N32532900	32.891389	W105250800	-105.418889	N33002000	33.005556	W105230000	-105.383333	N32560000	32.933333	W105200000	-105.333333	5.00		239.8	329.8					200205
AR135V	N	00010	KZAB	H		N31532273	31.889647	W111253387	-111.426075	N32211282	32.353561	W111401959	-111.672108													200406
